,Top-5 algorithms,,,,,
Name,xgboost,rf,dt,et,light,Sum
type,TRUE,TRUE,TRUE,TRUE,FALSE,4
ck_method_modifiers,TRUE,FALSE,FALSE,FALSE,FALSE,1
smell_organic_featureenvy,TRUE,FALSE,FALSE,FALSE,FALSE,1
ck_method_stringliteralsqty,0.01,FALSE,FALSE,FALSE,0.14,0.15
ck_method_parametersqty,TRUE,TRUE,TRUE,TRUE,FALSE,4
smell_designite_num_aglomeration,FALSE,TRUE,TRUE,TRUE,TRUE,4
smell_pmd_num_aglomeration,FALSE,TRUE,FALSE,FALSE,FALSE,1
ck_method_fanin,FALSE,0.03,FALSE,0.02,FALSE,0.05
ck_class_fanin,FALSE,FALSE,0.02,FALSE,0.245,0.265
ck_method_assignmentsQty,TRUE,FALSE,TRUE,TRUE,TRUE,4
watching,FALSE,TRUE,TRUE,TRUE,TRUE,4
background,TRUE,TRUE,TRUE,TRUE,TRUE,5
loc,TRUE,TRUE,TRUE,TRUE,TRUE,5
commits,FALSE,TRUE,TRUE,TRUE,TRUE,4
ck_class_staticmethodsqty,FALSE,FALSE,FALSE,FALSE,TRUE,1
ck_method_parenthesizedexpsqty,TRUE,FALSE,FALSE,FALSE,FALSE,1
number_of_contributors,TRUE,TRUE,TRUE,TRUE,TRUE,5
