Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Random Forest Classifier,0.822,0.8442,0.7207,0.4941,0.5862,0.4778,0.4917,5.913
Extreme Gradient Boosting,0.8207,0.846,0.7237,0.4915,0.5853,0.4762,0.4908,2.663
Decision Tree Classifier,0.8209,0.8425,0.7185,0.4919,0.5839,0.4748,0.4887,1.666
Extra Trees Classifier,0.8212,0.8444,0.7126,0.4925,0.5823,0.4734,0.4866,4.787
Light Gradient Boosting Machine,0.8175,0.8459,0.7219,0.4855,0.5805,0.4695,0.4847,4.379
Gradient Boosting Classifier,0.792,0.8241,0.6822,0.4393,0.5343,0.4084,0.4249,5.918
Ada Boost Classifier,0.7772,0.8021,0.6577,0.4141,0.508,0.3735,0.3904,2.607
Logistic Regression,0.8122,0.754,0.4616,0.4641,0.4618,0.3484,0.3489,5.864
Ridge Classifier,0.8196,0.7523,0.4089,0.4817,0.4421,0.3354,0.3372,1.689
Linear Discriminant Analysis,0.8186,0.754,0.4105,0.4787,0.4417,0.3342,0.3358,1.702
K Neighbors Classifier,0.7692,0.7803,0.44,0.4167,0.4063,0.2749,0.2843,2.967
Quadratic Discriminant Analysis,0.8148,0.75,0.327,0.4593,0.3815,0.2763,0.2821,1.703
SVM - Linear Kernel,0.5921,0.6766,0.6644,0.305,0.3774,0.1802,0.2233,1.713
Naive Bayes,0.8206,0.7369,0.2926,0.4798,0.363,0.2658,0.2771,1.439
Dummy Classifier,0.8251,0.5,0.0,0.0,0.0,0.0,0.0,1.363
