Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Extreme Gradient Boosting,0.8307,0.9099,0.865,0.5106,0.6416,0.5405,0.573,3.372
Extra Trees Classifier,0.8286,0.9091,0.8691,0.5082,0.6402,0.5382,0.5725,6.283
Random Forest Classifier,0.8271,0.9076,0.8721,0.5058,0.6391,0.5363,0.5716,8.224
Light Gradient Boosting Machine,0.8251,0.907,0.8636,0.501,0.6337,0.5295,0.5636,6.035
Decision Tree Classifier,0.8212,0.9052,0.8727,0.4956,0.631,0.525,0.5626,2.66
Gradient Boosting Classifier,0.8002,0.8735,0.7632,0.4575,0.572,0.4522,0.4774,10.421
K Neighbors Classifier,0.837,0.8614,0.524,0.5347,0.5289,0.4305,0.4308,4.08
Ada Boost Classifier,0.7447,0.8401,0.7413,0.385,0.505,0.3567,0.3925,4.574
Ridge Classifier,0.8267,0.7623,0.3914,0.5069,0.4414,0.3408,0.345,2.394
Linear Discriminant Analysis,0.8269,0.7629,0.3862,0.5074,0.4383,0.3383,0.3428,2.497
Logistic Regression,0.5528,0.6997,0.7538,0.2462,0.3711,0.1458,0.2012,7.014
Naive Bayes,0.8091,0.7306,0.2244,0.4165,0.2913,0.1923,0.2048,2.758
SVM - Linear Kernel,0.4849,0.5361,0.5579,0.2506,0.2084,0.0274,0.0422,3.877
Quadratic Discriminant Analysis,0.8251,0.0,0.0,0.0,0.0,0.0,0.0,2.848
Dummy Classifier,0.8251,0.5,0.0,0.0,0.0,0.0,0.0,2.394
