Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Random Forest Classifier,0.7989,0.8422,0.7612,0.4553,0.5698,0.4492,0.4745,3.346
Extra Trees Classifier,0.8005,0.8415,0.7536,0.4574,0.5692,0.4494,0.4732,2.656
Decision Tree Classifier,0.8,0.8397,0.7497,0.4564,0.5673,0.4471,0.4705,0.73
Extreme Gradient Boosting,0.7897,0.8393,0.764,0.4417,0.5597,0.4343,0.4624,1.1
Light Gradient Boosting Machine,0.7854,0.8375,0.756,0.4349,0.5521,0.4242,0.4523,2.068
Gradient Boosting Classifier,0.7564,0.8079,0.7094,0.3917,0.5046,0.3605,0.3885,3.022
Ada Boost Classifier,0.7418,0.7907,0.6964,0.373,0.4855,0.3338,0.3629,1.318
Logistic Regression,0.8142,0.7441,0.4253,0.4661,0.4446,0.3333,0.3339,1.572
Ridge Classifier,0.8149,0.743,0.3894,0.4665,0.424,0.3149,0.317,0.758
K Neighbors Classifier,0.7978,0.7779,0.4032,0.4186,0.4102,0.2884,0.2887,1.296
Linear Discriminant Analysis,0.8115,0.7324,0.3724,0.4527,0.4083,0.2976,0.2998,0.603
SVM - Linear Kernel,0.7271,0.6467,0.4388,0.3074,0.3166,0.1862,0.2111,1.314
Naive Bayes,0.815,0.7342,0.2408,0.4464,0.3124,0.2166,0.2305,0.718
Quadratic Discriminant Analysis,0.8148,0.7312,0.2382,0.445,0.3099,0.2142,0.2283,0.93
Dummy Classifier,0.8251,0.5,0.0,0.0,0.0,0.0,0.0,0.884
