Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Extra Trees Classifier,0.8119,0.932,0.9814,0.3214,0.4842,0.4033,0.4978,7.113
Random Forest Classifier,0.8107,0.9313,0.9767,0.3193,0.4813,0.4,0.494,8.855
Decision Tree Classifier,0.808,0.9288,0.9783,0.3164,0.4781,0.3961,0.4913,2.726
Extreme Gradient Boosting,0.8067,0.9316,0.9748,0.3146,0.4756,0.3931,0.4881,3.769
Light Gradient Boosting Machine,0.7959,0.9308,0.9775,0.3031,0.4627,0.3772,0.4763,5.963
K Neighbors Classifier,0.902,0.8842,0.3426,0.4416,0.385,0.3328,0.3364,4.766
Gradient Boosting Classifier,0.7036,0.8732,0.9069,0.2207,0.355,0.2459,0.3499,9.905
Ada Boost Classifier,0.6732,0.8234,0.8265,0.193,0.3129,0.1956,0.285,4.848
Ridge Classifier,0.6122,0.7175,0.6946,0.1479,0.2438,0.1122,0.1732,2.455
Linear Discriminant Analysis,0.6083,0.7171,0.6989,0.1474,0.2434,0.1114,0.1728,2.691
Logistic Regression,0.6384,0.6697,0.584,0.1395,0.2252,0.0936,0.1346,10.295
Naive Bayes,0.1912,0.6397,0.9818,0.0986,0.1792,0.0188,0.0887,3.685
SVM - Linear Kernel,0.4967,0.51,0.5248,0.069,0.1069,0.0078,0.0162,3.331
Quadratic Discriminant Analysis,0.9101,0.0,0.0,0.0,0.0,0.0,0.0,2.444
Dummy Classifier,0.9101,0.5,0.0,0.0,0.0,0.0,0.0,2.633
