Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8322,0.9405,0.9727,0.3444,0.5087,0.434,0.5195
0.828,0.9459,0.9492,0.3361,0.4964,0.4199,0.5026
0.834,0.9369,0.9492,0.3442,0.5052,0.4306,0.5109
0.8364,0.9457,0.9688,0.3498,0.514,0.4406,0.5236
0.8357,0.9375,0.9766,0.3497,0.5149,0.4415,0.5263
0.8133,0.9262,0.9255,0.3138,0.4687,0.3873,0.471
0.8276,0.9267,0.9255,0.3319,0.4886,0.4115,0.4902
0.836,0.9433,0.9451,0.3458,0.5063,0.4323,0.5113
0.8423,0.9422,0.9569,0.3562,0.5191,0.4475,0.526
0.8262,0.9372,0.9336,0.3319,0.4898,0.4123,0.4927
0.8312,0.9382,0.9503,0.3404,0.5012,0.4258,0.5074
0.0075,0.0067,0.0176,0.0116,0.0146,0.0172,0.0173
