Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8225,0.9322,0.9648,0.3307,0.4925,0.4147,0.5024
0.8343,0.9449,0.9492,0.3447,0.5057,0.4312,0.5114
0.8403,0.9483,0.9531,0.3536,0.5159,0.4433,0.5219
0.8371,0.949,0.9609,0.3499,0.513,0.4397,0.5209
0.827,0.9352,0.9727,0.3374,0.501,0.4247,0.5123
0.8057,0.9204,0.9451,0.3074,0.4639,0.3808,0.4708
0.8266,0.9326,0.9333,0.3315,0.4892,0.412,0.4925
0.8297,0.9396,0.9373,0.3361,0.4948,0.4187,0.4987
0.8388,0.9408,0.9608,0.3515,0.5147,0.442,0.5227
0.8248,0.9401,0.9453,0.3315,0.4909,0.4133,0.4964
0.8287,0.9383,0.9523,0.3374,0.4982,0.422,0.505
0.0096,0.0082,0.0119,0.013,0.0149,0.0179,0.0155
