,Top-5 algorithms,,,,,
Name,xgboost,rf,dt,et,light,Sum
type,TRUE,TRUE,TRUE,TRUE,FALSE,4
smell_designite_longmethod,0.02,FALSE,FALSE,0.04,FALSE,0.06
smell_organic_longmethod,0.01,FALSE,FALSE,0.03,FALSE,0.04
ck_method_stringliteralsqty,0.001,FALSE,0.03,,FALSE,0.031
smell_pmd_num_aglomeration,TRUE,FALSE,FALSE,FALSE,FALSE,1
ck_method_uniquewordsqty,TRUE,TRUE,TRUE,TRUE,TRUE,5
ck_class_fanin,FALSE,FALSE,FALSE,FALSE,TRUE,1
ck_method_assignmentsQty,TRUE,TRUE,FALSE,TRUE,TRUE,4
watching,TRUE,TRUE,TRUE,FALSE,TRUE,4
background,TRUE,TRUE,TRUE,TRUE,TRUE,5
ck_method_cbo,FALSE,0.06,,0.03,FALSE,0.09
loc,FALSE,TRUE,TRUE,TRUE,TRUE,4
commits,FALSE,TRUE,TRUE,TRUE,TRUE,4
ck_class_numbersqty,TRUE,TRUE,TRUE,FALSE,TRUE,4
smell_designite_num_aglomeration,FALSE,TRUE,TRUE,TRUE,TRUE,4
number_of_contributors,FALSE,FALSE,0.02,FALSE,0.19,0.21
