Name,Description,Y,FS1,FS2,FS3,None
commit_hash,SHA checksum of repository revision that the sample was acquired at,FALSE,FALSE,FALSE,FALSE,TRUE
start_line,line in the file in which the sample starts,FALSE,FALSE,FALSE,FALSE,TRUE
end_line,line in the file in which the sample ends,FALSE,FALSE,FALSE,FALSE,TRUE
id,a numeric identifier of the review,FALSE,,FALSE,FALSE,TRUE
reviewer_id,a numeric identifier of the reviewer,FALSE,,FALSE,FALSE,TRUE
sample_id,Sample identifier of the fragment,FALSE,,FALSE,FALSE,TRUE
review_timestamp,date and time (millisecond precision) when the sample was acquired,FALSE,FALSE,FALSE,FALSE,TRUE
code_name,a fully qualified name of the code sample in case of constructors and static methods a dot is used instead of a hash.,FALSE,FALSE,FALSE,FALSE,TRUE
repository,a git url of the repository,FALSE,FALSE,FALSE,FALSE,TRUE
path,path in the repository that can be used to retrieve the sample,FALSE,FALSE,FALSE,FALSE,TRUE
link,a link that can be used to view the sample in a browser.,FALSE,FALSE,FALSE,FALSE,TRUE
Is_from_industry_relevant_project,denotes whether source project was classified as industry-relevant in [1],FALSE,FALSE,FALSE,FALSE,TRUE
organic_filerelativepath,File relative path,FALSE,FALSE,FALSE,FALSE,TRUE
organic_startline,line where the smell detected by the tool begins,FALSE,FALSE,FALSE,FALSE,TRUE
organic_endline,line where the smell detected by the tool ends,FALSE,FALSE,FALSE,FALSE,TRUE
organic_smellReason,reason that caused the smell,FALSE,FALSE,FALSE,FALSE,TRUE
pmd_package,method or class path,FALSE,FALSE,FALSE,FALSE,TRUE
pmd_file,method or class path complete with file name,FALSE,FALSE,FALSE,FALSE,TRUE
pmd_line,line of the smell detected,FALSE,FALSE,FALSE,FALSE,TRUE
pmd_description,description of the smell found,FALSE,FALSE,FALSE,FALSE,TRUE
pmd_rule_set,"If the smell found is from Best Practices, code style,design,documentation,Error Prone,
Multithreading,Performance, Security or Additional rulesets",FALSE,FALSE,FALSE,FALSE,TRUE
implementation_project name,project name of implementation-type code smells,FALSE,FALSE,FALSE,FALSE,TRUE
Implementation_code_name,method or class path of design-type code smells,FALSE,FALSE,FALSE,FALSE,TRUE
implementation_type name,Type name of implementation-type code smells,FALSE,FALSE,FALSE,FALSE,TRUE
implementation_method name,name of the method in which the smell was detected,FALSE,FALSE,FALSE,FALSE,TRUE
