Long Method,,,,,Feature Envy,,,DataClass (DC),,,Blob,,
,Model,Recall,Prec.,F1,Recall,Prec.,F1,Recall,Prec.,F1,Recall,Prec.,F1
FS1,MLP,0.10,0.39,0.16,0,0,0,0.06,0.58,0.10,0.05,0.62,0.09
,LSTM,0.1,1.00,0.02,0.01,0.29,0.03,0,0,0,0.23,0.55,0.33
,GRU,0.08,0.31,0.12,0.01,0.50,0.01,0.16,0.46,0.34,0.25,0.57,0.34
,AutoKeras,0.15,0.35,0.21,0.07,0.40,0.11,0.14,0.43,0.21,0.28,0.54,0.37
FS2,MLP,1,1,1,1,1,1,1,1,1,1,1,1
,LSTM,0,0,0,0,0,0,0,0,0,0,0,0
,GRU,1,1,1,1,1,1,1,1,1,1,1,1
,AutoKeras,1,1,1,1,1,1,1,1,1,1,1,1
FS3,MLP,1,1,1,1,1,1,0.67,0.59,0.63,0.61,0.66,0.63
,LSTM,1,1,1,1,1,1,0.67,0.61,0.64,0.64,0.69,0.66
,GRU,1,1,1,1,1,1,0.67,0.59,0.63,0.60,0.68,0.64
,AutoKeras,1,1,1,1,1,1,0.71,0.60,0.63,0.58,0.69,0.63
